iter	MAPE	RMSE	R2	MAE
0	0.9576932745	2160454.121	-0.3991894037	1216106.223
1	0.91775672	2108217.096	-0.3323461537	1179853.161
2	0.8779602418	2057361.968	-0.2688428172	1144662.024
3	0.8383914199	2008330.9	-0.2090853291	1110525.333
4	0.8050751472	1960012.116	-0.1516060109	1077409.455
5	0.77265788	1913372.853	-0.09745223334	1045425.552
6	0.7418202457	1868094.253	-0.04612596118	1014596.714
7	0.7146800817	1824392.384	0.002247298302	984681.0349
8	0.6874182454	1782958.917	0.04705226222	955954.7175
9	0.6637879364	1743068.439	0.08921621534	927898.2914
10	0.6423248956	1704031.6	0.1295542699	900987.5242
11	0.6225027843	1665105.562	0.1688680947	874969.1967
12	0.6036754528	1628521.024	0.2049889771	850103.3885
13	0.5869065136	1593028.954	0.2392643837	825981.7719
14	0.5708405627	1558380.911	0.2719961926	802514.1531
15	0.5546329387	1525965.649	0.301967047	779761.6691
16	0.5411983593	1494084.221	0.3308298353	758055.1254
17	0.527960336	1462785.175	0.3585725945	736855.5003
18	0.5165817937	1432931.467	0.3844869702	717028.0082
19	0.5057134297	1404511.383	0.4086604349	697513.0339
20	0.4943200736	1376828.199	0.4317415324	678538.2467
21	0.4849056337	1349753.47	0.4538709023	660392.8369
22	0.4745873831	1324054.01	0.4744696366	642534.1693
23	0.4662343384	1298991.94	0.4941761255	625653.5604
24	0.4575731186	1275057.278	0.5126445803	609174.6486
25	0.4506093592	1251263.475	0.5306639154	593588.0717
26	0.4456050653	1229684.017	0.5467127876	579489.4296
27	0.4385746294	1207558.521	0.5628778791	564773.8546
28	0.4324254583	1186775.6	0.5777947507	550683.6195
29	0.4286800491	1167050.515	0.5917128419	538052.6966
30	0.4249071601	1147654.165	0.6051715076	525900.5642
31	0.4189284392	1128750.975	0.6180709539	513259.2468
32	0.4140693864	1110597.493	0.6302571466	501442.1698
33	0.4122341763	1092882.337	0.6419586177	490927.2685
34	0.4105118617	1076006.215	0.6529308831	480842.7849
35	0.4077126785	1059987.671	0.663187626	470665.5236
36	0.4037837087	1044558.657	0.6729214404	460201.977
37	0.4028562657	1029026.548	0.6825761393	451354.869
38	0.4020707155	1014310.194	0.6915903264	442850.7572
39	0.4002902746	1000680.99	0.6998227948	434317.9036
40	0.3989783649	987423.4717	0.7077238998	426263.9522
41	0.3970330211	974610.4028	0.7152599898	418288.7463
42	0.391853201	962332.5806	0.7223889236	409443.3124
43	0.3898783275	950424.2899	0.7292169566	401994.8179
44	0.3896351246	937532.7621	0.7365129245	395429.7396
45	0.3905707315	926112.7034	0.7428928858	389642.9924
46	0.3912640943	914837.9033	0.7491149916	383888.5141
47	0.3894182807	904386.6877	0.7548145281	377317.6596
48	0.3880276804	894663.1047	0.7600584464	371271.5646
49	0.3876187999	884804.6167	0.7653172487	365722.2608
50	0.3844928396	875422.7469	0.7702676975	359649.2869
51	0.3832835977	866692.0941	0.7748271208	354246.2121
52	0.3810091766	857067.9261	0.7798002119	349041.6573
53	0.377268805	848965.7597	0.7839437866	343381.266
54	0.3774744998	839452.7162	0.7887586723	339102.6436
55	0.3774542802	832019.2053	0.792483271	335078.3124
56	0.3725655145	824835.9115	0.7960510222	330003.1826
57	0.3732631254	817067.8828	0.79987438	326420.7322
58	0.3729589384	808797.8442	0.8039050629	322535.6057
59	0.3743812815	802052.7686	0.8071621434	319609.1515
60	0.3753021748	795794.3097	0.8101598493	316677.4153
61	0.3723514625	789448.0544	0.8131756291	312899.7719
62	0.3733095628	782440.9307	0.8164774086	310371.2089
63	0.373123198	776551.5093	0.8192297547	307511.7969
64	0.3740000222	770009.8063	0.8222625589	305257.6759
65	0.3751122754	763703.5848	0.8251619036	303210.8798
66	0.3759160392	757516.4135	0.827983342	300922.0871
67	0.3763232656	752204.2617	0.8303874473	298622.9133
68	0.3737958194	746838.4484	0.8327986626	295730.021
69	0.3747870318	741080.3139	0.8353669725	293728.9728
70	0.3751550771	736196.8987	0.8375295519	291845.5842
71	0.3722278398	732104.544	0.8393308057	289022.9343
72	0.3736673276	727492.2071	0.8413488947	287685.5081
73	0.372753998	723253.5021	0.8431922578	285577.2842
74	0.3697931138	718326.6573	0.8453213482	283309.7272
75	0.3696650943	713878.9988	0.8472308639	281600.7895
76	0.3663132081	710155.7563	0.848820246	279453.0634
77	0.3662290501	706387.6715	0.8504203086	278048.3501
78	0.3668296317	702195.1631	0.8521905918	276943.9853
79	0.3674161364	697315.0273	0.8542379525	275702.2417
80	0.3654114396	693737.675	0.8557296877	273919.7777
81	0.3644984746	690586.9569	0.8570371642	272493.203
82	0.3647069889	687192.945	0.8584389434	271553.96
83	0.3641917408	683430.9155	0.8599846494	270174.9498
84	0.3635262601	680473.9182	0.8611936358	268960.0343
85	0.3628982371	677262.0745	0.8625008783	267773.7969
86	0.3609831212	674629.1683	0.8635678761	266419.3412
87	0.3607940635	671910.6214	0.8646652192	265510.1944
88	0.3585238382	668456.8101	0.8660529617	264059.54
89	0.3580438213	665206.5147	0.8673523994	263020.7471
90	0.3546316611	662707.8376	0.868347041	261475.999
91	0.3544452088	659502.9074	0.8696173391	260576.1217
92	0.353856455	657241.3764	0.870510008	259850.2864
93	0.3525155236	654764.6136	0.8714841149	258836.3229
94	0.3513287838	652643.2412	0.8723155234	257984.6451
95	0.3497094641	650560.4616	0.8731291816	257156.1088
96	0.349970973	647194.2411	0.8744387301	256439.2618
97	0.3491365161	644939.6182	0.8753120389	255859.344
98	0.3478410111	642896.7317	0.8761007016	255147.2991
99	0.3488007916	640740.4499	0.8769304267	254895.5528
100	0.348073449	638999.092	0.8775984568	254389.9355
101	0.3493170211	637079.6279	0.8783327067	254213.877
102	0.3468330631	635179.5498	0.8790573653	253302.9398
103	0.3467513368	633217.2585	0.879803479	253015.1269
104	0.3472657522	630602.6227	0.8807940436	252875.542
105	0.3477638248	628709.9394	0.8815085365	252745.6473
106	0.3455611859	627297.8461	0.8820402065	251990.3966
107	0.3456370526	625730.7819	0.8826288254	251725.1781
108	0.3460046006	623091.357	0.8836169149	251195.4343
109	0.3463661455	620236.1975	0.8846810637	250818.3976
110	0.3467196637	618354.4009	0.8853797574	250781.4606
111	0.3449715554	616837.4394	0.8859414457	250224.4686
112	0.3430395182	615591.3317	0.8864018124	249711.4016
113	0.3423804982	613501.27	0.8871718822	249042.4501
