iter	MAPE	RMSE	MAE
178	0.1596128598	219683.8509	116935.0753
179	0.1594866386	219106.8273	116754.9942
180	0.1591150641	218247.3605	116393.2023
181	0.1588318988	217796.0404	116258.4307
182	0.1587501124	217413.1202	116135.3239
183	0.1587594115	217169.3856	116069.362
184	0.1586515086	216601.2329	115878.7113
185	0.1586104509	215831.5341	115734.0316
186	0.1582957971	215199.538	115550.2562
187	0.1579044124	214667.6455	115264.1646
188	0.1575990872	213935.1031	114811.7506
189	0.1575681263	213389.7492	114632.455
190	0.1574721551	212861.3073	114480.8103
191	0.1574268049	212199.7624	114352.7077
192	0.1573837665	211654.0781	114114.2211
193	0.157294687	211314.1452	113987.9228
194	0.1571800763	210922.9786	113838.5875
195	0.1568221024	210608.2223	113690.11
196	0.1565205564	210240.0195	113583.8579
197	0.1564604443	209662.2566	113392.1136
198	0.1556691855	209155.5978	112939.0246
199	0.1551291828	208617.8533	112734.9386
200	0.1546244348	208192.3287	112500.3122
201	0.154585108	207507.3034	112294.4393
202	0.1537297128	207031.4655	111809.6086
203	0.1535666947	206616.1816	111608.343
204	0.1535440909	206092.8864	111375.4098
