iter	MAPE	RMSE	R2	MAE
0	0.9574846587	2170833.68	-0.3939400669	1216291.418
1	0.9169473933	2118818.969	-0.3279407696	1180029.005
2	0.8775497351	2068269.984	-0.2653348166	1144781.963
3	0.8398716267	2019484.387	-0.2063463081	1110678.629
4	0.8062748311	1971528.61	-0.1497334505	1077552.064
5	0.7737990022	1925197.879	-0.09633113752	1045579.272
6	0.7439038121	1879871.177	-0.04531498906	1014726.332
7	0.7158016892	1837859.612	0.0008845669112	984822.863
8	0.6884353152	1796718.336	0.04511515758	956110.6414
9	0.6651193807	1756377.432	0.08751297883	928157.7414
10	0.6436499312	1718185.184	0.1267653924	901293.7162
11	0.6240684403	1679597.151	0.1655481957	875310.7887
12	0.6054918547	1644070.527	0.2004752959	850419.0836
13	0.5881977797	1609421.845	0.2338200494	826523.6276
14	0.5726471998	1575434.703	0.2658381464	802981.502
15	0.5586239586	1542738.006	0.2959956264	780970.6751
16	0.544650126	1510373.661	0.3252237219	759201.5249
17	0.532489591	1479512.889	0.3525167981	738504.9732
18	0.5222774153	1451076.749	0.3771667827	719171.3692
19	0.5120060856	1422399.002	0.4015417239	700213.4018
20	0.500687317	1394970.766	0.4243994338	681221.1341
21	0.4912698818	1367934.17	0.4464951949	662982.9234
22	0.4812453566	1342683.052	0.4667412211	645175.2484
23	0.4738998895	1318043.021	0.4861336594	628572.1132
24	0.4648808132	1293765.712	0.5048893439	611850.7142
25	0.4581428972	1270109.642	0.5228296771	596353.9309
26	0.4537353366	1248562.115	0.5388828172	582386.5121
27	0.4468319564	1226593.739	0.5549667224	567718.5742
28	0.4409915977	1206080.5	0.5697274985	553755.9509
29	0.4358270809	1185503.538	0.5842840298	540658.4073
30	0.4322731535	1165492.71	0.5981998244	528451.8157
31	0.425907701	1146356.242	0.6112859848	515681.8915
32	0.42378247	1128246.675	0.6234703987	504655.0729
33	0.4216761184	1110592.248	0.6351618249	494035.343
34	0.4201151998	1093896.738	0.6460485841	483986.0669
35	0.4171063045	1077764.123	0.6564116381	473699.8666
36	0.4132589108	1062224.447	0.6662482245	463260.8837
37	0.4125175836	1046469.172	0.6760754398	454431.3621
38	0.4116571549	1032094.052	0.6849136784	446019.4356
39	0.4067818132	1018395.562	0.6932221528	436753.1358
40	0.405463825	1005050.728	0.7012093764	428663.0641
41	0.4034403925	992604.1335	0.7085640262	420758.401
42	0.4019305436	980062.5548	0.7158821023	413145.3636
43	0.40036736	967935.8807	0.7228695941	405819.1299
44	0.3957679975	955812.9231	0.7297679873	398334.6069
45	0.396776847	942900.7377	0.737019861	392439.9657
46	0.3968745254	931119.0689	0.7435507452	386301.0281
47	0.3952436194	920509.0052	0.7493619041	379757.6397
48	0.3903717235	910597.4616	0.7547303167	372544.9221
49	0.3910236717	900986.9857	0.7598801655	367698.0996
50	0.3903693479	891717.1467	0.764795712	362269.3936
51	0.3919717236	881707.5603	0.7700464445	357931.9967
52	0.388746441	871588.1663	0.7752945272	352385.6561
53	0.3877396644	863326.2746	0.7795343584	347582.113
54	0.3885175568	854230.1779	0.7841555831	343561.2069
55	0.3881960102	845248.1476	0.7886708263	339410.5965
56	0.3873103421	837367.0005	0.7925933468	335155.3838
57	0.3882678438	829252.6706	0.7965935326	331844.2964
58	0.3896074399	822199.0437	0.8000391684	328884.5553
59	0.3906113938	815346.8537	0.803358219	325744.4572
60	0.3907016594	808263.3615	0.8067601085	322486.1056
61	0.3876930051	801383.0711	0.8100359905	318606.427
62	0.3888636053	794186.2974	0.8134325916	316018.3409
63	0.3900021211	787767.0215	0.8164363894	313653.2635
64	0.3899300448	782058.1319	0.819087293	311031.9293
65	0.3910241262	775108.7393	0.8222881996	308976.6165
66	0.3915407269	769035.6679	0.8250620772	306775.0874
67	0.3910832286	763990.5803	0.8273498311	304390.2683
68	0.3907046776	758120.2956	0.8299928268	301910.8675
69	0.3920865089	752049.6208	0.8327046026	299924.636
70	0.3924458221	746891.2044	0.8349917381	298011.8051
71	0.3915244889	741844.9853	0.8372138956	295982.7353
72	0.3913993981	737639.4905	0.8390543223	294207.8363
73	0.3912600536	732865.4483	0.8411308787	292455.3006
74	0.3894893275	728057.8886	0.8432083886	290432.7185
75	0.3874758129	724176.78	0.8448755729	288048.2273
76	0.3854026369	719787.263	0.8467504125	285840.2967
77	0.3844186706	715756.3158	0.8484620606	284247.2503
78	0.3849276784	710601.7381	0.8506368272	282802.6292
79	0.3852391658	706792.9926	0.8522336759	281740.3132
80	0.3830334834	702919.791	0.8538487473	279902.0669
81	0.3800530758	699557.658	0.8552435147	277846.3784
82	0.3801305926	695713.9158	0.8568298829	276832.7811
83	0.3786887356	692825.5377	0.8580162068	275227.2599
84	0.3760254235	689772.9709	0.8592646024	273403.0917
85	0.3741080412	686291.4819	0.8606816839	271925.0148
86	0.3721571693	683063.842	0.861989035	270536.0972
87	0.3717606584	680558.0675	0.8629997459	269560.2819
88	0.3692920432	678070.212	0.8639995543	268036.5831
89	0.3686957981	674552.0974	0.8654071487	266789.6102
90	0.3663877122	672115.311	0.8663778124	265455.0788
91	0.3671176511	669392.912	0.8674580919	265104.5615
92	0.3664788649	666395.9331	0.8686422577	264173.4754
93	0.3651175189	663901.1332	0.8696239499	263250.2656
94	0.3642379835	661319.1134	0.8706360853	262438.3626
95	0.3625266008	659072.3309	0.8715136007	261584.9453
96	0.3604047201	656697.2126	0.8724379925	260516.5006
97	0.3602029478	654123.8061	0.8734357908	260000.2756
98	0.3588646073	651978.3964	0.8742646455	259277.9563
99	0.3597802805	649919.5882	0.8750574824	259120.8633
100	0.3599289575	646506.9536	0.8763661481	258744.779
101	0.3585533575	644431.6268	0.8771586185	257901.2088
