iter	Passed	Remaining
0	318	1591301
1	585	1462817
2	690	1149713
3	970	1211646
4	1228	1227693
5	1249	1039654
6	1255	895472
7	1261	787305
8	1267	703025
9	1273	635472
10	1282	581878
11	1290	536400
12	1299	498458
13	1310	466722
14	1317	438010
15	1324	412512
16	1334	391213
17	1344	371997
18	1353	354845
19	1360	338657
20	1366	324062
21	1372	310528
22	1377	298175
23	1384	286992
24	1394	277530
25	1400	267951
26	1407	259251
27	1414	251189
28	1421	243726
29	1428	236625
30	1434	229959
31	1443	224099
32	1454	218933
33	1462	213670
34	1482	210255
35	1500	206837
36	1509	202524
37	1520	198547
38	1526	194155
39	1532	190043
40	1539	186248
41	1547	182737
42	1553	179085
43	1559	175630
44	1565	172359
45	1572	169310
46	1578	166326
47	1584	163440
48	1589	160625
49	1594	157896
50	1600	155312
51	1605	152783
52	1611	150393
53	1616	148079
54	1623	145936
55	1628	143768
56	1633	141694
57	1639	139673
58	1644	137712
59	1650	135855
60	1655	134029
61	1661	132306
62	1666	130591
63	1671	128945
64	1677	127329
65	1682	125771
66	1688	124303
67	1693	122863
68	1699	121438
69	1704	120067
70	1710	118749
71	1716	117457
72	1721	116181
73	1726	114952
74	1732	113794
75	1738	112615
76	1743	111465
77	1749	110383
78	1754	109307
79	1760	108246
80	1765	107224
81	1771	106222
82	1776	105232
83	1787	104590
84	1794	103767
85	1800	102904
86	1808	102152
87	1815	101315
88	1821	100517
89	1828	99753
90	1833	98918
91	1839	98121
92	1844	97330
93	1849	96550
94	1855	95789
95	1860	95044
96	1865	94314
97	1871	93604
98	1876	92910
99	1882	92233
100	1887	91560
101	1894	90951
102	1899	90315
103	1904	89677
104	1910	89077
105	1915	88460
106	1921	87870
107	1926	87269
108	1931	86681
109	1936	86102
110	1943	85581
111	1948	85031
112	1953	84500
113	1959	83965
114	1964	83441
115	1969	82936
116	1975	82439
117	1980	81944
118	1985	81446
119	1990	80964
120	1996	80492
121	2001	80017
122	2006	79554
123	2012	79139
124	2019	78770
125	2024	78329
126	2029	77889
127	2035	77472
128	2041	77093
129	2046	76675
130	2052	76281
131	2058	75913
132	2063	75518
133	2068	75129
134	2073	74739
135	2080	74399
136	2086	74046
137	2091	73678
138	2096	73317
139	2101	72965
140	2107	72611
141	2112	72256
142	2115	71869
143	2121	71525
144	2126	71193
145	2131	70866
146	2137	70552
147	2142	70230
148	2149	69980
149	2154	69660
150	2159	69363
151	2165	69067
152	2170	68770
153	2176	68474
154	2181	68184
155	2186	67895
156	2191	67609
157	2199	67395
158	2208	67233
159	2218	67108
160	2246	67513
161	2600	77652
162	2876	85356
163	3248	95791
164	3254	95364
165	3267	95163
166	3274	94753
167	3279	94315
168	3284	93904
169	3290	93492
170	3296	93097
171	3302	92704
172	3308	92313
173	3314	91927
174	3319	91531
175	3325	91153
176	3331	90787
177	3337	90399
178	3342	90021
179	3347	89642
180	3352	89261
181	3358	88904
182	3366	88619
183	3371	88253
184	3377	87898
185	3382	87534
186	3386	87153
187	3391	86809
188	3396	86447
189	3401	86111
190	3410	85867
191	3416	85545
192	3421	85224
193	3426	84896
194	3433	84607
195	3438	84289
196	3443	83947
197	3448	83637
198	3454	83338
199	3459	83029
200	3466	82754
201	3473	82510
202	3481	82267
203	3488	82024
204	3503	81947
205	3514	81786
