iter	MAPE	RMSE	R2	MAE
78	0.3695543058	673821.7513	0.8617996119	278260.3076
79	0.3703442537	669362.0827	0.8636229082	277257.0221
80	0.3675694509	666060.7872	0.8649648152	275157.1797
81	0.3653703788	662786.2241	0.8662893018	273426.9405
82	0.3659197977	659091.2993	0.8677759768	272573.6935
83	0.3663410745	655576.7781	0.8691823529	271747.8926
84	0.3639426636	651799.0312	0.8706856766	269959.6202
85	0.3623888758	648765.6792	0.8718864858	268688.3763
86	0.3607989011	645143.2206	0.873313165	267440.4678
87	0.3612413603	641854.4413	0.8746015086	266694.2808
88	0.3592025185	639041.4615	0.8756982384	265234.4496
89	0.3588633782	635806.6999	0.8769534587	264181.0128
90	0.3565796523	633225.2253	0.8779506067	262816.2494
91	0.3559798898	630974.1242	0.8788168299	261913.4616
92	0.3548684439	628587.031	0.8797320126	260878.864
93	0.3536682562	626211.722	0.8806392343	259972.0883
94	0.3528904604	623515.8677	0.8816647232	258861.4887
95	0.3509087347	621502.2374	0.8824278112	257745.4271
96	0.348825076	619518.0906	0.8831773117	256669.806
97	0.3482126639	617474.3573	0.883946815	256052.1612
98	0.3472057023	614991.9332	0.8848780734	255146.6008
99	0.3453809798	612713.499	0.8857295053	254276.6024
100	0.3428889914	611125.4314	0.8863210839	253331.6441
101	0.3414346093	609514.4256	0.8869196386	252530.6589
102	0.3389160514	607347.7126	0.8877221699	251437.4593
103	0.3392298924	604567.9315	0.8887475909	250975.2959
104	0.3393419944	601976.2764	0.8896993776	250520.233
105	0.3396164121	599918.2473	0.8904522773	250310.5573
106	0.339368754	597581.4374	0.8913040387	249877.8736
107	0.3397178614	595212.1677	0.8921642379	249702.1966
108	0.3398382599	592908.3203	0.8929974075	249172.1278
109	0.340233978	590444.6043	0.8938848171	248873.6888
110	0.3390304864	588021.0799	0.8947541449	248219.4084
111	0.3389907809	585765.2653	0.8955601015	247795.8735
112	0.3391346943	583767.7268	0.8962711952	247490.8473
113	0.3393426285	581676.6463	0.8970129861	247271.676
114	0.3371783158	579735.8978	0.8976990665	246671.8632
115	0.3372418642	577919.5842	0.8983390803	246423.5894
116	0.3368485314	575934.0132	0.8990364376	245909.0217
117	0.3365499931	574534.5838	0.8995264928	245662.9988
118	0.3367162904	573011.5357	0.9000584822	245482.5708
119	0.3337727467	571864.6978	0.9004581322	244744.1682
120	0.3314221483	570736.2767	0.9008505828	244028.7854
