iter	MAPE	MAE
0	0.9548250821	1214815.472
1	0.9094198214	1170891.186
2	0.8677905896	1132333.915
3	0.8287453126	1097903.715
4	0.7947233207	1070920.752
5	0.7589855531	1034047.25
6	0.7268253634	1003134.26
7	0.6992340773	978212.0534
8	0.6705781274	948004.6103
9	0.6434825557	920360.7325
10	0.6207779113	894296.7386
11	0.5986035128	871128.0224
12	0.5774032474	843489.873
13	0.5603776937	824908.9639
14	0.5453958387	805323.7751
15	0.5305141837	786222.105
16	0.5193372298	776112.0567
17	0.5095132417	768102.8317
18	0.5025505505	759202.5246
19	0.4938256999	752813.6313
20	0.484284923	741796.6502
21	0.4735600761	727174.5876
22	0.4663480948	719309.3992
23	0.4614641488	708341.2372
24	0.4537852134	700959.4818
25	0.4446976587	690610.5253
26	0.4390342286	684412.8796
27	0.4371214923	682611.5794
28	0.4330668779	677663.8274
29	0.4273589404	672574.3898
30	0.4216002868	664798.8994
31	0.4194533951	662982.853
32	0.4153484697	659422.7132
33	0.4121530215	657185.2674
34	0.4121369097	657181.9853
35	0.408102202	653689.4443
36	0.4057931117	651798.7011
37	0.4016459121	644717.1275
38	0.4014754668	644651.6998
39	0.3965719797	638695.9106
40	0.3929393639	633591.3854
41	0.3923283482	632602.3836
42	0.3910960543	631234.0702
43	0.388106325	628117.4022
44	0.3867528557	626952.9027
45	0.3851394017	625908.6335
46	0.38297725	622428.701
47	0.3812619477	619098.3317
48	0.3794696144	617593.0069
49	0.3780460474	616059.6396
50	0.3768430006	614946.6582
51	0.3752574711	612608.9487
52	0.3733770247	610253.8615
53	0.3725981788	609653.9794
54	0.3696002004	602508.183
55	0.3686168428	601719.1208
56	0.3669997092	597335.0132
57	0.3659963564	595436.6748
58	0.3650397338	594338.7484
59	0.363404574	592902.0291
60	0.3623745814	591539.5347
61	0.3602161738	586006.0952
62	0.3572988802	579129.4018
63	0.357089967	579033.407
64	0.3555369032	572984.5232
65	0.3552383992	572767.8847
66	0.3552228865	572756.9372
67	0.3534224876	570981.9016
68	0.3529860215	570172.8349
69	0.3523104134	569517.6433
70	0.3516271729	569028.0362
71	0.3508086503	568669.9743
72	0.3508006052	568665.6872
73	0.3508000356	568665.4519
74	0.3498672016	567081.7532
75	0.3492475384	565978.8492
76	0.3488498315	565626.9647
77	0.3482654728	565282.1465
78	0.3471491529	562812.356
79	0.3457313004	560057.5262
80	0.3448913871	559532.2428
81	0.3441626246	557514.2088
82	0.3428073868	554487.5421
83	0.3415826543	553269.3781
84	0.3399896723	549836.2135
85	0.3399888411	549836.0538
86	0.3397727136	549682.6339
87	0.3394631975	549406.5199
88	0.3382321063	547903.0597
89	0.3370789218	544760.4253
90	0.3369211752	544694.2713
91	0.3348919047	543194.9952
92	0.3333655386	539779.098
93	0.3325778875	539327.4883
94	0.3320017289	538922.8071
95	0.331683602	538625.7872
96	0.3314654167	538428.3472
97	0.3296554349	534980.1446
98	0.3292742057	534580.291
99	0.3269705404	528571.0048
